tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
1.0,cam+em+pdc+piv+pw,45,snap,313,33.0415,0.5783,0.6933,0.6469,0.6773,0.7891,0.8387,0.6773,0.5783,-0.10549999999999993
0.75,cam+em+pdc+piv+pw,45,snap,313,34.1278,0.5655,0.6837,0.6696,0.6773,0.7764,0.8522,0.6773,0.5655,-0.12534999999999996
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.8498,0.5815,0.6677,0.7232,0.6773,0.7476,0.8798,0.6773,0.5815,-0.16735
2.0,cam+em+pdc+piv+pw,45,mean,313,28.77,0.5655,0.6358,0.5566,0.6741,0.7796,0.7418,0.6741,0.5655,-0.014950000000000019
1.0,cam+em+pdc+piv+pw,45,mean,313,33.0415,0.5687,0.6869,0.6468,0.6741,0.7859,0.8388,0.6741,0.5687,-0.10880000000000001
0.75,cam+em+pdc+piv+pw,45,mean,313,34.1278,0.5623,0.6773,0.6696,0.6741,0.7732,0.8523,0.6741,0.5623,-0.12864999999999993
0.75,atr+cam+em+ext+pdc+piv+pw,45,mean,313,36.4441,0.6006,0.6454,0.7164,0.6741,0.7412,0.8758,0.6741,0.6006,-0.16815000000000002
2.0,cam+em+pdc+piv,0,snap,313,30.0192,0.5655,0.6581,0.5726,0.6709,0.7732,0.7631,0.6709,0.5655,-0.04104999999999992
1.5,cam+pdc+piv,0,mean,313,31.0383,0.5591,0.6613,0.593,0.6709,0.7796,0.788,0.6709,0.5591,-0.06275000000000008
1.5,cam+em+pdc+piv+pw,45,snap,313,30.8914,0.5687,0.6677,0.6011,0.6709,0.7859,0.7953,0.6709,0.5687,-0.06689999999999996
1.0,cam+em+pdc+piv,45,snap,313,32.8371,0.5687,0.6997,0.6425,0.6709,0.7923,0.8361,0.6709,0.5687,-0.10449999999999993
0.75,cam+em+pdc+piv,45,snap,313,33.8626,0.5591,0.6933,0.6646,0.6709,0.7827,0.8501,0.6709,0.5591,-0.12329999999999997
2.0,cam+em+pdc+piv,45,mean,313,28.5751,0.5591,0.6358,0.5529,0.6677,0.7796,0.7368,0.6677,0.5591,-0.013150000000000106
1.5,cam+pdc+piv,0,snap,313,31.0383,0.5623,0.6677,0.593,0.6677,0.7796,0.788,0.6677,0.5623,-0.06435000000000013
1.5,cam+em+pdc+piv+pw,45,mean,313,30.8914,0.5623,0.6677,0.6011,0.6677,0.7923,0.7953,0.6677,0.5623,-0.06530000000000002
1.0,cam+em+pdc+piv,45,mean,313,32.8371,0.5591,0.6901,0.6425,0.6677,0.7891,0.8362,0.6677,0.5591,-0.10780000000000012
0.75,cam+em+pdc+piv,45,mean,313,33.8626,0.5559,0.6869,0.6646,0.6677,0.7827,0.8501,0.6677,0.5559,-0.12490000000000001
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.8466,0.5942,0.6613,0.7231,0.6677,0.754,0.8799,0.6677,0.5942,-0.16905000000000003
1.5,cam+em+pdc+piv,45,snap,313,30.6581,0.5623,0.6709,0.5963,0.6645,0.7859,0.79,0.6645,0.5623,-0.06479999999999997
2.0,cam+pdc+piv,0,mean,313,28.5463,0.5495,0.6326,0.5443,0.6613,0.7636,0.7256,0.6613,0.5495,-0.013149999999999995
2.0,cam+em+pdc+piv+pw,45,snap,313,28.7732,0.5559,0.6518,0.5567,0.6613,0.77,0.7419,0.6613,0.5559,-0.026249999999999996
1.5,cam+em+pdc+piv,45,mean,313,30.6581,0.5591,0.6677,0.5963,0.6613,0.7923,0.7899,0.6613,0.5591,-0.06310000000000004
2.0,cam+em+pdc+piv,45,snap,313,28.5719,0.5495,0.655,0.5528,0.655,0.77,0.7368,0.655,0.5495,-0.02429999999999999
2.0,cam+pdc+piv,45,mean,313,27.3131,0.5399,0.6326,0.5278,0.6518,0.7636,0.7036,0.6518,0.5399,0.0040999999999999925
2.0,cam+pdc+piv,0,snap,313,28.5463,0.5399,0.6518,0.5443,0.6518,0.7604,0.7256,0.6518,0.5399,-0.019500000000000073
1.5,cam+pdc+piv,45,mean,313,29.2077,0.5399,0.6581,0.5672,0.6518,0.7732,0.754,0.6518,0.5399,-0.04149999999999998
1.5,cam+pdc+piv,45,snap,313,29.2077,0.5431,0.6645,0.5672,0.6486,0.7732,0.7541,0.6486,0.5431,-0.043200000000000016
1.0,cam+pdc+piv,45,snap,313,31.2716,0.5431,0.6837,0.611,0.6486,0.77,0.8043,0.6486,0.5431,-0.09499999999999997
0.75,cam+pdc+piv,45,snap,313,32.3227,0.5399,0.6805,0.6336,0.6486,0.7668,0.8231,0.6486,0.5399,-0.11540000000000006
1.0,cam+pdc+piv,45,mean,313,31.2716,0.5335,0.6773,0.611,0.6454,0.7668,0.8044,0.6454,0.5335,-0.09830000000000005
0.75,cam+pdc+piv,45,mean,313,32.3227,0.5335,0.6741,0.6336,0.6454,0.7668,0.8232,0.6454,0.5335,-0.11710000000000009
2.0,cam+pdc+piv,45,snap,313,27.3131,0.5304,0.6518,0.5278,0.6422,0.7604,0.7036,0.6422,0.5304,-0.0022999999999999687
2.0,cam+em+pdc+piv,30,mean,313,22.8179,0.4888,0.5495,0.4497,0.5815,0.6741,0.5996,0.5815,0.4888,0.028200000000000003
2.0,cam+em+pdc+piv+pw,30,mean,313,22.8371,0.492,0.5431,0.45,0.5783,0.6709,0.6,0.5783,0.492,0.024600000000000066
2.0,atr+cam+em+pdc+piv+pw,30,mean,313,23.246,0.4824,0.5655,0.459,0.5719,0.6869,0.612,0.5719,0.4824,0.01739999999999997
2.0,cam+em+pdc+piv,30,snap,313,22.8147,0.4824,0.5687,0.4496,0.5719,0.6613,0.5995,0.5719,0.4824,0.017100000000000004
2.0,cam+em+pdc+piv+pw,30,snap,313,22.8403,0.4856,0.5623,0.4501,0.5687,0.6581,0.6001,0.5687,0.4856,0.013299999999999979
2.0,atr+cam+em+pdc+piv+pw,30,snap,313,23.2492,0.476,0.5751,0.4591,0.5655,0.6869,0.6121,0.5655,0.476,0.014100000000000001
1.5,cam+em+ext+pdc+piv+pw,30,snap,313,23.3578,0.4824,0.5304,0.4621,0.5655,0.623,0.6157,0.5655,0.4824,-0.02145000000000008
2.0,cam+em+ext+ladder+pdc+piv+pw,30,snap,313,24.016,0.4792,0.5208,0.4751,0.5655,0.6262,0.6327,0.5655,0.4792,-0.03685000000000005
2.0,cam+em+ext+ladder+pdc+piv+pw,30,mean,313,24.0192,0.4728,0.5335,0.4751,0.5623,0.6581,0.6326,0.5623,0.4728,-0.022399999999999975
2.0,atr+cam+em+ext+ladder+pdc+piv+pw,30,mean,313,24.1629,0.476,0.5335,0.4779,0.5623,0.655,0.6364,0.5623,0.476,-0.02774999999999994
1.5,atr+cam+em+ext+pdc+piv+pw,30,snap,313,23.5559,0.476,0.5304,0.4662,0.5623,0.623,0.621,0.5623,0.476,-0.028349999999999986
